self_test_miscompile_class_m10_if_body_fold_reassign	A_PASS		rc=0
self_test_miscompile_class_m11_match_arm_fold_reassign	B_EMIT		HX0012
self_test_miscompile_class_m1_hex_literal	B_EMIT		
self_test_miscompile_class_m2_fn_body_aliasing	A_PASS		rc=0
self_test_miscompile_class_m3_string_compare	C_DIFFER		nrc=72 crc=0
self_test_miscompile_class_m4_two_reg_value_abi	A_PASS		rc=0
self_test_miscompile_class_m5_linker_reloc_kinds	A_PASS		rc=0
self_test_miscompile_class_m6_index_slice_charcode	A_PASS		rc=0
self_test_miscompile_class_m7_struct_ctor_fields	A_PASS		rc=0
self_test_miscompile_class_m8_comptime_fold_loop_reassign	A_PASS		rc=0
self_test_miscompile_class_m9_while_cond_fold_reassign	A_PASS		rc=0
self_test_miscompile_zero_c10_try_catch	A_PASS		rc=0
self_test_miscompile_zero_c1_hex_literal	A_PASS		rc=0
self_test_miscompile_zero_c2_stack_locals	A_PASS		rc=0
self_test_miscompile_zero_c3_struct_ctor	A_PASS		rc=0
self_test_miscompile_zero_c4_f64_literal	A_PASS		rc=0
self_test_miscompile_zero_c5_multi_fn_alias	A_PASS		rc=0
self_test_miscompile_zero_c6_closures	A_PASS		rc=0
self_test_miscompile_zero_c7_recursion_arrays	A_PASS		rc=0
self_test_miscompile_zero_c8_string_methods	A_PASS		rc=0
self_test_miscompile_zero_c9_match_control	A_PASS		rc=0
self_test_miscompile_zero_g1_hex_corpus	A_PASS		rc=0
self_test_miscompile_zero_g2_stp_ldp_corpus	A_PASS		rc=0
self_test_test_attr_mandatory	B_EMIT	IMPORT	HX2001
self_test_test_module_gate	C_DIFFER	IMPORT	nrc=1 crc=0
self_test_test_tape_grammar	C_DIFFER	IMPORT	nrc=1 crc=0
test_atlas_aliases_smoke	B_LD	IMPORT	/tmp/r22aud2/test_atlas_aliases_smoke.flat.hexa:587:(.text+0x509e): un
test_atlas_atom_meta_smoke	C_DIFFER	IMPORT	nrc=0 crc=0
test_atlas_cycle_append_smoke	B_EMIT	IMPORT	HX2001
test_atlas_doctrine_smoke	B_LD	IMPORT	/tmp/r22aud2/test_atlas_doctrine_smoke.flat.hexa:587:(.text+0x509e): u
test_atlas_materials_limits_smoke	B_LD	IMPORT	/tmp/r22aud2/test_atlas_materials_limits_smoke.flat.hexa:587:(.text+0x
test_atlas_n6_axes_smoke	B_LD	IMPORT	/tmp/r22aud2/test_atlas_n6_axes_smoke.flat.hexa:587:(.text+0x509e): un
test_atlas_real_limits_smoke	B_LD	IMPORT	/tmp/r22aud2/test_atlas_real_limits_smoke.flat.hexa:587:(.text+0x509e)
test_atlas_tecsl_verify_smoke	B_EMIT	IMPORT	HX2006
test_atlas_verify_smoke	B_EMIT	IMPORT	HX2006
test_atlas_wave3_smoke	B_LD	IMPORT	/tmp/r22aud2/test_atlas_wave3_smoke.flat.hexa:587:(.text+0x509e): unde
test_auto_t59_testgen_fixture_prop_tests	C_DIFFER		nrc=139 crc=1
test_calc_cli_smoke	C_DIFFER	IMPORT	nrc=1 crc=0
test_catalan_combinatorial_smoke	C_DIFFER	IMPORT	nrc=0 crc=0
test_congruence_chain_engine_smoke	C_DIFFER	IMPORT	nrc=1 crc=0
test_convergence_cluster_smoke	C_DIFFER	IMPORT	nrc=1 crc=0
test_deck_gen_smoke	B_EMIT	IMPORT	HX2001
test_deck_orchestration_selftest	B_EMIT	IMPORT	HX2001
test_deck_rtsc_bytecompat	B_EMIT	IMPORT	HX2001
test_deck_validate_gate_selftest	B_EMIT	IMPORT	HX2001
test_dft_fanout_plan_selftest	A_PASS		rc=0
test_divisor_field_theory_smoke	C_DIFFER	IMPORT	nrc=0 crc=0
test_doc_test_own	B_LD	IMPORT	/tmp/r22aud2/test_doc_test_own.flat.hexa:576:(.text+0x7b08): undefined
test_doc_verify_n6arch	B_LD	IMPORT	/tmp/r22aud2/test_doc_verify_n6arch.flat.hexa:576:(.text+0x7b08): unde
test_egyptian_fraction_smoke	A_PASS	IMPORT	rc=0
test_factorial_structure_smoke	A_PASS	IMPORT	rc=0
test_fixtures_annot_sample	B_EMIT		HX2001
test_fixtures_bubble_n8	C_DIFFER		nrc=139 crc=1
test_fixtures_bubble_n8.rewritten	C_DIFFER		nrc=139 crc=1
test_fixtures_bubble_n8_swaphelper	C_DIFFER		nrc=139 crc=1
test_fixtures_bubble_n8_swaphelper.rewritten	C_DIFFER		nrc=139 crc=1
test_fixtures_exec_eq_int_lint_fail_direct_eq_zero	A_PASS		rc=0
test_fixtures_exec_eq_int_lint_fail_direct_neq_zero	B_LD		(.text+0x1b): undefined reference to `main'
test_fixtures_exec_eq_int_lint_fail_inverse	A_PASS		rc=0
test_fixtures_exec_eq_int_lint_fail_let_bound	B_LD		(.text+0x1b): undefined reference to `main'
test_fixtures_exec_eq_int_lint_pass_proper_api	B_LD		/tmp/legb-r22-3488050/test/fixtures/exec_eq_int_lint/pass_proper_api.h
test_fixtures_exec_eq_int_lint_pass_string_capture	A_PASS		rc=0
test_fixtures_exec_eq_int_lint_pass_string_compare	A_PASS		rc=0
test_fixtures_run_bubble_rewrite_test	B_LD		/tmp/legb-r22-3488050/test/fixtures/run_bubble_rewrite_test.hexa:14:(.
test_flame_ag_derive_test	B_EMIT	IMPORT	HX2001
test_flame_ag_extract_sd11_compile_test	B_EMIT	IMPORT	HX2001
test_flame_ag_extract_sd12_compile_test	B_EMIT	IMPORT	HX2001
test_flame_ag_extract_sd13_compile_test	B_EMIT	IMPORT	HX2001
test_flame_ag_extract_sd14_compile_test	B_EMIT	IMPORT	HX2001
test_flame_ag_extract_test	B_EMIT	IMPORT	HX2001
test_ftl_n6_constants_smoke	C_DIFFER	IMPORT	nrc=1 crc=0
test_ftl_tribunal_smoke	A_PASS	IMPORT	rc=0
test_generator_finder_smoke	C_DIFFER	IMPORT	nrc=0 crc=0
test_hashset_smoke	B_EMIT	IMPORT	HX2001
test_iit4_approx_phi_smoke	B_EMIT	IMPORT	HX2001
test_linux_hexat_trim_repro	C_DIFFER		nrc=5 crc=0
test_lora_cuda_equiv_test_emit	B_LD		/tmp/legb-r22-3488050/test/lora_cuda_equiv_test_emit.hexa:277:(.text+0
test_mult_order_smoke	C_DIFFER	IMPORT	nrc=0 crc=0
test_n6_lattice_smoke	C_DIFFER	IMPORT	nrc=0 crc=0
test_n6_uniqueness_smoke	C_DIFFER	IMPORT	nrc=0 crc=0
test_native_build_cov_bitwise	A_PASS		rc=0
test_native_build_cov_exec_wrap	B_EMIT		HX2001
test_native_build_emit_hexa_cstring_native_o	A_PASS		rc=0
test_native_build_emit_hexa_cuda_available_native_o	A_PASS		rc=0
test_native_build_emit_hexa_cuda_device_count_native_o	A_PASS		rc=0
test_native_build_emit_hexa_deref_native_o	A_PASS		rc=0
