prog	rc	objsize	encode_miss	udf	oracle_rc	asm_diff	status
example/invariant_audit_type_neg.hexa	0	1032	0	0	0	match	CLEAN
example/invariant_ensure_type_demo.hexa	0	1136	0	0	0	match	CLEAN
example/invariant_ensure_type_neg.hexa	0	1136	0	0	0	match	CLEAN
example/invariant_I3_demo.hexa	0	1872	0	0	0	match	CLEAN
example/invariant_require_demo.hexa	0	1016	0	0	0	match	CLEAN
example/invariant_require_neg.hexa	0	1032	0	0	0	match	CLEAN
example/invariant_test.hexa	0	1800	0	0	0	match	CLEAN
example/invariant_violation_demo.hexa	0	1544	0	0	0	match	CLEAN
example/io_min.hexa	0	1968	0	0	0	match	CLEAN
example/json_field_test.hexa	0	4720	0	0	0	match	CLEAN
example/json_get.hexa	0	6032	0	0	0	match	CLEAN
example/json_pretty.hexa	0	7304	0	0	0	match	CLEAN
example/life.hexa	0	12480	0	0	0	match	CLEAN
example/main_test.hexa	0	56880	0	0	0	match	CLEAN
example/mandelbrot.hexa	0	5408	0	0	0	match	CLEAN
example/match_min.hexa	0	4520	0	0	0	match	CLEAN
example/mathlib.hexa	0	3984	0	0	0	match	CLEAN
example/matmul.hexa	0	7232	0	0	0	match	CLEAN
example/maze.hexa	0	6976	0	0	0	match	CLEAN
example/md2html.hexa	0	10920	0	0	0	match	CLEAN
example/memoize_binom.hexa	0	1696	0	0	0	match	CLEAN
example/memoize_fib.hexa	0	1448	0	0	0	match	CLEAN
example/method_min.hexa	0	2040	0	0	0	match	CLEAN
example/mini_transpiler.hexa	0	2808	0	0	0	match	CLEAN
example/mirror_consciousness_test.hexa	0	28200	0	0	0	match	CLEAN
example/mod_a.hexa	0	928	0	0	0	match	CLEAN
example/mod_main.hexa	0	1136	0	0	0	match	CLEAN
example/n6_consciousness.hexa	0	9120	0	0	0	match	CLEAN
example/n6_emergence.hexa	0	23168	0	0	0	match	CLEAN
example/nested_if_expr.hexa	0	2536	0	0	0	match	CLEAN
example/optimize_ackermann.hexa	0	1656	0	0	0	match	CLEAN
example/ouroboros.hexa	0	18688	0	0	0	match	CLEAN
example/pattern_match.hexa	0	2664	0	0	0	match	CLEAN
example/pattern_rules_test.hexa	0	24840	0	0	0	match	CLEAN
example/photonic_chip_dse.hexa	0	16856	0	0	0	match	CLEAN
example/physics.hexa	0	3264	0	0	0	match	CLEAN
example/plugin_test.hexa	0	28128	0	0	0	match	CLEAN
example/practical_calculator.hexa	0	10352	0	0	0	match	CLEAN
example/practical_data_pipeline.hexa	0	17336	0	0	0	match	CLEAN
example/practical_state_machine.hexa	0	25328	0	0	0	match	CLEAN
example/print_min.hexa	0	1424	0	0	0	match	CLEAN
example/pure_math_test.hexa	0	6256	0	0	0	match	CLEAN
example/pwcheck.hexa	0	8312	0	0	0	match	CLEAN
example/queens.hexa	0	6848	0	0	0	match	CLEAN
example/quicksort.hexa	0	5440	0	0	0	match	CLEAN
example/record_test.hexa	0	5168	0	0	0	match	CLEAN
example/regex.hexa	0	7880	0	0	0	match	CLEAN
example/resource_guard_test.hexa	0	11320	0	0	0	match	CLEAN
example/reward_test.hexa	0	29248	0	0	0	match	CLEAN
example/roman.hexa	0	8512	0	0	0	match	CLEAN
example/rot13.hexa	0	4808	0	0	0	match	CLEAN
example/rpn.hexa	0	7856	0	0	0	match	CLEAN
example/runall.hexa	0	5072	0	0	0	match	CLEAN
example/safety_test.hexa	0	11632	0	0	0	match	CLEAN
example/seed_engine_test.hexa	0	28464	0	0	0	match	CLEAN
example/self_host_lexer.hexa	0	23936	0	0	0	match	CLEAN
example/self_host_parser.hexa	0	13160	0	0	0	match	CLEAN
example/self_proof.hexa	0	10704	0	0	0	match	CLEAN
example/sentry_test.hexa	0	12800	0	0	0	match	CLEAN
example/sieve_bench.hexa	0	2816	0	0	0	match	CLEAN
example/sieve_era.hexa	0	5800	0	0	0	match	CLEAN
example/sieve_min.hexa	0	3016	0	0	0	match	CLEAN
example/sigma_phi.hexa	0	4544	0	0	0	match	CLEAN
example/sorting.hexa	0	14200	0	0	0	match	CLEAN
example/split_min.hexa	0	3328	0	0	0	match	CLEAN
example/stats.hexa	0	12720	0	0	0	match	CLEAN
example/strarr_min.hexa	0	3472	0	0	0	match	CLEAN
example/strcat_min.hexa	0	2224	0	0	0	match	CLEAN
example/string_processing.hexa	0	19176	0	0	0	match	CLEAN
example/strmethods_min.hexa	0	2904	0	0	0	match	CLEAN
example/strops_min.hexa	0	2736	0	0	0	match	CLEAN
example/struct_min.hexa	0	2472	0	0	0	match	CLEAN
example/struct_patterns.hexa	0	20720	0	0	0	match	CLEAN
example/sudoku.hexa	0	9448	0	0	0	match	CLEAN
example/temp.hexa	0	4440	0	0	0	match	CLEAN
example/test_53_keywords.hexa	0	8000	0	0	0	match	CLEAN
example/test_ai_native_attrs.hexa	0	16728	0	0	0	match	CLEAN
example/test_async.hexa	0	9048	0	0	0	match	CLEAN
example/test_autograd.hexa	0	3824	0	0	0	match	CLEAN
example/test_builtins.hexa	0	4032	0	0	0	match	CLEAN
example/test_callback.hexa	0	5384	0	0	0	match	CLEAN
example/test_closures.hexa	0	4768	0	0	0	match	CLEAN
example/test_comptime.hexa	0	5912	0	0	0	match	CLEAN
example/test_const_static.hexa	0	2448	0	0	0	match	CLEAN
example/test_contract.hexa	0	6152	0	0	0	match	CLEAN
example/test_conv_cache_io.hexa	0	16728	0	0	0	match	CLEAN
example/test_effects.hexa	0	5040	0	0	0	match	CLEAN
example/test_egyptian_memory.hexa	0	7800	0	0	0	match	CLEAN
example/test_error_fallback.hexa	0	6032	0	0	0	match	CLEAN
example/test_evolve_matrix.hexa	0	9976	0	0	0	match	CLEAN
example/test_exec.hexa	0	1856	0	0	0	match	CLEAN
example/test_extern_g6.hexa	0	3520	0	0	0	match	CLEAN
example/test_extern_pty.hexa	0	6824	0	0	0	match	CLEAN
example/test_extern.hexa	0	4616	0	0	0	match	CLEAN
example/test_file_io.hexa	0	8200	0	0	0	match	CLEAN
example/test_float_ffi.hexa	0	4016	0	0	0	match	CLEAN
example/test_format_precision.hexa	0	8976	0	0	0	match	CLEAN
example/test_fuse.hexa	0	5792	0	0	0	match	CLEAN
example/test_generate.hexa	0	3312	0	0	0	match	CLEAN
example/test_generation.hexa	0	14736	0	0	0	match	CLEAN
example/test_global_scope.hexa	0	10608	0	0	0	match	CLEAN
example/test_http_server.hexa	0	1744	0	0	0	match	CLEAN
example/test_jit_extended.hexa	0	8072	0	0	0	match	CLEAN
example/test_lazy.hexa	0	4960	0	0	0	match	CLEAN
example/test_lr_batch.hexa	0	14312	0	0	0	match	CLEAN
example/test_macros.hexa	0	4648	0	0	0	match	CLEAN
example/test_matmul_loss.hexa	0	10232	0	0	0	match	CLEAN
example/test_memoize_perf.hexa	0	6944	0	0	0	match	CLEAN
example/test_modern_llm.hexa	0	14840	0	0	0	match	CLEAN
example/test_n12_struct.hexa	0	4216	0	0	0	match	CLEAN
example/test_n12_transpile.hexa	0	3192	0	0	0	match	CLEAN
example/test_neural_testbench.hexa	0	16320	0	0	0	match	CLEAN
example/test_newline_continuation.hexa	0	6752	0	0	0	match	CLEAN
example/test_optimizer.hexa	0	15288	0	0	0	match	CLEAN
example/test_ptr_arith.hexa	0	9664	0	0	0	match	CLEAN
example/test_pure_inline.hexa	0	5704	0	0	0	match	CLEAN
example/test_quant_beam_init.hexa	0	14672	0	0	0	match	CLEAN
example/test_reward_prune_ts.hexa	0	17384	0	0	0	match	CLEAN
example/test_stdlib.hexa	0	20048	0	0	0	match	CLEAN
example/test_struct_pack.hexa	0	14296	0	0	0	match	CLEAN
example/test_tokenizer_moe_ewc.hexa	0	17456	0	0	0	match	CLEAN
example/test_topology_chaos.hexa	0	12344	0	0	0	match	CLEAN
example/test_transformer.hexa	0	17984	0	0	0	match	CLEAN
example/test_try_catch.hexa	0	11032	0	0	0	match	CLEAN
example/test_vectorize.hexa	0	5856	0	0	0	match	CLEAN
example/test_viz_data.hexa	0	17160	0	0	0	match	CLEAN
example/text_tools.hexa	0	7456	0	0	0	match	CLEAN
example/theorems_test.hexa	0	3280	0	0	0	match	CLEAN
example/time_travel_test.hexa	0	23864	0	0	0	match	CLEAN
example/todo_cli.hexa	0	8032	0	0	0	match	CLEAN
example/traffic.hexa	0	8184	0	0	0	match	CLEAN
example/tree.hexa	0	6760	0	0	0	match	CLEAN
example/uniq.hexa	0	5312	0	0	0	match	CLEAN
example/verify_pages_test.hexa	0	17816	0	0	0	match	CLEAN
example/versioning_test.hexa	0	31200	0	0	0	match	CLEAN
example/wc.hexa	0	3536	0	0	0	match	CLEAN
example/wf.hexa	0	10520	0	0	0	match	CLEAN
